Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Session1-BrowserInvokeandActions,Success,46,29,2024-03-13 16:45:30 +0530,2024-03-18 11:29:44 +0530,0:00:05
Session9-Lists,Success,6,0,2024-03-14 19:15:55 +0530,2024-03-14 19:25:05 +0530,0:00:00
Session7-Scrolling,Success,5,0,2024-03-14 17:33:45 +0530,2024-03-14 17:37:12 +0530,0:00:08
Session3-Logs, IF-else and Assert,Failure,10,7,2024-03-14 16:10:18 +0530,2024-03-15 12:25:20 +0530,0:00:00
Session4-Waits,Failure,6,4,2024-03-14 15:16:36 +0530,2024-03-14 17:25:41 +0530,0:00:07
OCR-1,Success,2,0,2024-03-15 13:17:26 +0530,2024-03-15 13:20:39 +0530,0:00:03
Session8-Date and Time,Success,2,0,2024-03-14 19:12:15 +0530,2024-03-14 19:12:28 +0530,0:00:00
OCR-2 Search rectangle,Failure,4,3,2024-03-15 15:22:42 +0530,2024-03-15 15:47:47 +0530,0:00:11
Session5-Senstalk Functions,Success,1,0,2024-03-14 16:38:49 +0530,2024-03-14 16:38:49 +0530,0:00:00
Session2-GlobalVariable and PropertyLists,Success,14,0,2024-03-14 13:20:08 +0530,2024-03-15 12:57:47 +0530,0:00:00
